Date,Voucher,Party,Product,Qty,Rate
7/11/2017,6420,K.KONDAYYA-GDR,ROBO 10*12,200,5
7/11/2017,6420,K.KONDAYYA-GDR,GARUDA 10*12 BK,200,7
7/11/2017,6421,SVP-BUCHHI,14 GREEN,7000,1.62
7/11/2017,6422,VENKATASETTY-PDKR,GARUDA 13*16 BLUE,50,13
7/11/2017,6422,VENKATASETTY-PDKR,13*16 BK(100)KRISHN,50,16.5
7/11/2017,6422,VENKATASETTY-PDKR,ROBO 10*12,100,4.8
7/11/2017,6422,VENKATASETTY-PDKR,TIRUMALA-50(13*16),200,14
7/11/2017,6422,VENKATASETTY-PDKR,TIRUMALA-50(16*20),120,26
7/11/2017,6422,VENKATASETTY-PDKR,CYCLE-BLU-10*12,360,7
7/11/2017,6422,VENKATASETTY-PDKR,CYCLE-BLU-10*12,40,7
7/11/2017,6423,BCM,10*12 SARAS-BK,600,8.4
7/11/2017,6423,BCM,TIRUMALA-50(16*20),120,26
7/11/2017,6424,PPR,TIRUMALA-50B(10*12),1000,7.5
7/11/2017,6424,PPR,9*9 PGS,25,95
7/11/2017,6425,MD.ISHAQ,13*16 WHITE RK,300,15.5
7/11/2017,6425,MD.ISHAQ,NO-00,2,149
7/11/2017,6425,MD.ISHAQ,16*20(100-W),150,26
7/11/2017,6425,MD.ISHAQ,10*12 KRISHNA-BK(10,400,8.2
7/11/2017,6425,MD.ISHAQ,NO-0,4,149
7/11/2017,6426,MD.ISHAQ,13*16 BK(100)KRISHN,200,16
7/11/2017,6427,MAYURI CATERING,VISHNU CHOTA WINE,100,30
7/11/2017,6427,MAYURI CATERING,DONA-COLOUR(8100),1,2430
7/11/2017,6428,TANEER MASTANIAH,10*10 TEJA,25,125
7/11/2017,6428,TANEER MASTANIAH,13*16 BLACK RK,300,16.5
7/11/2017,6429,BTR,14 GREEN,1000,1.62
7/11/2017,6430,SRINU,PP 4*6,5,145
7/11/2017,6430,SRINU,PP 4*5,5,145
7/11/2017,6430,SRINU,PP +7*9,5,142
7/11/2017,6430,SRINU,HIGH COUNT 10*12,10,140
7/11/2017,6430,SRINU,HIGH COUNT 16*20,10,140
7/11/2017,6508,VENKATESWARA GENERA,14 GREEN,1000,1.62
7/11/2017,6508,VENKATESWARA GENERA,LOOSE KIRANA,10,145
7/11/2017,6522,TP13,CITIZEN M.W 10*12,25,130
7/11/2017,6522,TP13,SILVER POUCH 5*7,10,30
7/11/2017,6522,TP13,GANESH 13*16,100,22
7/11/2017,6522,TP13,10*10 SIVA SHEET,25,136
7/11/2017,6522,TP13,10*12 SARAS-NAT,600,8
7/11/2017,6522,TP13,90ML RANGEELA,50,14
7/11/2017,6522,TP13,PAPER TEA-65ML,176,15
7/11/2017,6522,TP13,HIGH COUNTING BLUE ,20,148
7/11/2017,6522,TP13,STRAW 1.5KG BUNDLE,2,175
7/11/2017,6522,TP13,CLASSIC 250ML(100),80,30
7/11/2017,6522,TP13,APPLE WATER,100,21
7/11/2017,6522,TP13,BLACK DOG-350ML,100,25.5
7/11/2017,6522,TP13,APPLE WINE,100,23.5
7/11/2017,6522,TP13,HIGH COUNT 16*20,5,140
7/11/2017,6522,TP13,TIRUMALA M.W 13*16,25,102
7/11/2017,6522,TP13,4*5 TRISUL,300,13
7/11/2017,6522,TP13,10*12 SARAS-NAT,900,8
7/11/2017,6522,TP13,TIRUMALA M.W 10*12,25,102
7/11/2017,6522,TP13,SILVER POUCH 5*7,150,30
7/11/2017,6522,TP13,CYCLE 10*12 BK KG,25,79
7/11/2017,6522,TP13,CYCLE 13*16 BK KG,25,79
7/11/2017,6522,TP13,DURGA 10*12 BLUE,100,5.5
7/11/2017,6522,TP13,RUBBER 100G,1,270
7/11/2017,6522,TP13,NO-0,25,142
7/11/2017,6522,TP13,NO-1,25,142
7/11/2017,6522,TP13,TIRML-BL-KG-16*20,25,115
7/11/2017,6522,TP13,NAPKEEN 2ND,125,8
7/12/2017,7251,PPR,TIRUMALA-50B(10*12),300,7.5
7/12/2017,7251,PPR,PAPER TEA,150,19
7/12/2017,7252,SVT-KOTA TENKAYALA ,APPLE WATER,100,22
7/12/2017,7252,SVT-KOTA TENKAYALA ,CLASSIC 300ML,100,26
7/12/2017,7252,SVT-KOTA TENKAYALA ,14 GREEN,40,36.25
7/12/2017,7253,BALAJI PLASTICS,VISHNU 300ML,100,26
7/12/2017,7254,TANEER MASTANIAH,10*10 TEJA,25,125
7/12/2017,7254,TANEER MASTANIAH,HIGH COUNT 13*16,10,145
7/12/2017,7254,TANEER MASTANIAH,4*5 TRISUL,50,15
7/12/2017,7254,TANEER MASTANIAH,5*6 TRISUL,50,19
7/12/2017,7254,TANEER MASTANIAH,LD 6*7.5(HALF LITRE,11,170
7/12/2017,7254,TANEER MASTANIAH,80 LEAF,1,340
7/12/2017,7255,SEKHAR MARKET,13*16 BK(100)KRISHN,200,16.5
7/12/2017,7255,SEKHAR MARKET,TIRUMALA-50(16*20),120,26
7/12/2017,7255,SEKHAR MARKET,TIRUMALA LEAF(9),10,355
7/12/2017,7255,SEKHAR MARKET,10*10 TEJA,25,125
7/12/2017,7256,SK SALIM-PDKR,CYCLE 13*16 BK KG,25,80
7/12/2017,7256,SK SALIM-PDKR,CYCLE 16*20 BK-KG,25,80
7/12/2017,7257,BSR,TIRUMALA KIRANA,30,149
7/12/2017,7257,BSR,SILVER POUCH 9*12,50,90
7/12/2017,7257,BSR,SILVER POUCH 6*8,120,40
7/12/2017,7257,BSR,SILVER POUCH 7*9,50,55
7/12/2017,7257,BSR,PP,2,142
7/12/2017,7257,BSR,5 RS RUBBER SHEET,1,180
7/12/2017,7257,BSR,GOLD LEAF SITTING,5,680
7/12/2017,7257,BSR,CYCLE-BLU-10*12,360,7
7/12/2017,7257,BSR,CYCLE-BLU-10*12,40,7
7/12/2017,7257,BSR,CYCLE 10*12 BK KG,25,80
7/12/2017,7257,BSR,SPOON BIG CL,100,18.5
7/12/2017,7258,ATHIDI RESTARENT,TIRUMALA M.W 13*16,10,105
7/12/2017,7258,ATHIDI RESTARENT,TIRUMALA M.W 10*12,10,105
7/12/2017,7258,ATHIDI RESTARENT,TIRUMALA 16*20 M.W,10,105
7/12/2017,7258,ATHIDI RESTARENT,SILVER POUCH 8*10,10,70
7/12/2017,7258,ATHIDI RESTARENT,SILVER POUCH 9*12,10,90
7/12/2017,7258,ATHIDI RESTARENT,4*5 MEET,10,16
7/12/2017,7258,ATHIDI RESTARENT,1000ML CONTAINER,200,7
7/12/2017,7258,ATHIDI RESTARENT,500ML PLASTIC BOULS,200,3.45
7/12/2017,7258,ATHIDI RESTARENT,250 ML PLASTIC BOUL,200,2.9
7/12/2017,7258,ATHIDI RESTARENT,PAPER TEA-110ML,10,35
7/12/2017,7258,ATHIDI RESTARENT,BASKIN WHITE,10,30
7/12/2017,7258,ATHIDI RESTARENT,SPOON SOOFY,10,25
7/12/2017,7258,ATHIDI RESTARENT,RUF&TUF -FORK,10,31
7/12/2017,7258,ATHIDI RESTARENT,SOFT NAPKEENS,50,19
7/12/2017,7259,TVR,CLASSIC 250ML,100,24
7/12/2017,7259,TVR,CLASSIC 300ML,100,26
7/12/2017,7259,TVR,PAPER TEA 80ML LONG,160,21.75
7/12/2017,7260,BTR,9*9 TIGER,35,137
7/12/2017,7260,BTR,NO-00,5,145
7/12/2017,7261,VENKATASETTY-PDKR,BLACK DOG-350ML,100,26
7/12/2017,7262,SVP-BUCHHI,14 GREEN,7000,1.42
7/12/2017,7263,RR,100LEAF,8,440
7/12/2017,7263,RR,VISHNU 250ML,100,30
7/12/2017,7263,RR,10*12 RK,400,8.3
7/12/2017,7263,RR,13*16 BLACK RK,500,15.5
7/12/2017,7263,RR,TIFFIN PLATENO-10,100,18
7/12/2017,7263,RR,TIFFIN PLATES-6,100,9
7/12/2017,7264,LT,TIRUMALA-50(13*16),200,14
7/12/2017,7264,LT,DURGA 10*12 BLUE,400,5.5
7/12/2017,7264,LT,DURGA 13*16 BLUE,200,10.5
7/12/2017,7265,BARGAVI PROVISONS,TIRUMALA M.W 13*16,50,105
7/12/2017,7266,JANANI PLASTICS-VGI,PAPER TEA 80ML LONG,120,29
7/12/2017,7266,JANANI PLASTICS-VGI,PAPER TEA 80ML LONG,160,22
7/12/2017,7267,KPR,DURGA 10*12 BLUE,800,5.5
7/12/2017,7267,KPR,5*7 ESWAR,20,150
7/12/2017,7268,PAPARAO,"SILVER PLATE 9""",75,8
7/12/2017,7268,PAPARAO,TIFFIN PLATENO-10,7,18
7/12/2017,7268,PAPARAO,TIFFIN PLATES - 9 S,5,16
7/12/2017,7269,GANESHMESS,5*6 ANKIT(20MIC),1050,23
7/12/2017,7269,GANESHMESS,SILVER POUCH 8*10,80,80
7/12/2017,7269,GANESHMESS,CHEF CAP,110,65
7/12/2017,7269,GANESHMESS,TIRUMALA M.W 13*16,25,110
7/12/2017,7269,GANESHMESS,TIRUMALA 16*20 M.W,25,110
7/12/2017,7270,K.SRIHARI,FANCY IC,100,19
7/12/2017,7270,K.SRIHARI,VISHNU ICE,100,18
7/12/2017,7270,K.SRIHARI,13*16 BLACK RK,500,16.5
7/12/2017,7270,K.SRIHARI,13*16 BLACK RK,10,16.5
7/12/2017,7271,DSP-SEKHAR,APPLE WATER,100,21
7/12/2017,7272,A.SRINIVASULU-SPT,TIRUMALA LEAF(9),10,360
7/12/2017,7272,A.SRINIVASULU-SPT,TIRML-CL-16*20,25,115
7/12/2017,7279,CH.REDDY,NO-00,25,136
7/12/2017,7279,CH.REDDY,VISHNU 300ML,100,26
7/12/2017,7280,PAPARAO,GARUDA 13*16 BLUE,200,13
7/12/2017,7280,PAPARAO,TIRUMALA-50(13*16),200,14
7/12/2017,7280,PAPARAO,GARUDA 10*12 BLUE,500,7
7/12/2017,7280,PAPARAO,10*10 TEJA,25,125
7/12/2017,7280,PAPARAO,PRINTING PP 1KG,10,170
7/12/2017,7280,PAPARAO,PRINTING PP 500GRAM,2,165
7/12/2017,7280,PAPARAO,PRINTING PP 250GRAM,2,165
7/12/2017,7280,PAPARAO,PRINTING COVER 100G,2,165
7/12/2017,7280,PAPARAO,FORK BIG,30,24
7/12/2017,7280,PAPARAO,BIG M.W SPOON,30,16
7/12/2017,7280,PAPARAO,14 GREEN,40,36.25
7/12/2017,7407,TP13,BLACK DOG-350ML,100,25
7/12/2017,7407,TP13,TIRUMALA LEAF(9),10,360
7/12/2017,7407,TP13,DURGA 10*12 BLUE,1600,5.5
7/12/2017,7407,TP13,CLASSIC ENJOY(750),1,1320
7/12/2017,7407,TP13,250 ML PLASTIC BOUL,200,2.9
7/12/2017,7407,TP13,SILVER POUCH 6*8,120,39
7/12/2017,7407,TP13,DURGA 13*16 BLUE,400,10.5
7/12/2017,7407,TP13,10*12 SARAS-NAT,1500,8
7/12/2017,7407,TP13,NIFTY 10*12 PINK,360,6
7/12/2017,7407,TP13,4*5 TRISUL,300,13
7/12/2017,7407,TP13,5*6 JANATHA POLY,100,32.5
7/12/2017,7407,TP13,30*50 LINER,20,150
7/12/2017,7407,TP13,NO-00,25,142
7/12/2017,7407,TP13,NO-0,25,148
7/12/2017,7407,TP13,10*10 SIVA SHEET,25,136
7/12/2017,7407,TP13,BULLET 10*12,400,4.2
7/12/2017,7407,TP13,PP,40,142
7/12/2017,7407,TP13,PP,20,138
7/12/2017,7407,TP13,RUBBER,5,300
7/12/2017,7407,TP13,"TAPE ROLL 2"" 50MTRS",4,130
7/12/2017,7407,TP13,"TAPE ROLL 2""100METR",4,210
7/12/2017,7407,TP13,PRESSING COVER 8*10,10,100
7/12/2017,7407,TP13,PRESSING COVER 6*8,20,65
7/12/2017,7407,TP13,PRESSING COVER 5*6,20,55
7/12/2017,7407,TP13,PRESSING COVER-2*3,100,8
7/12/2017,7407,TP13,BEND STRAW,10,13
7/12/2017,7407,TP13,250 ML PLASTIC BOUL,200,2.9
7/12/2017,7975,BALAJI PLASTICS,VISHNU 300ML,100,26
7/13/2017,3231,MARKET KOTESWARARAO,13*16 BLACK RK,500,16
7/13/2017,3234,KVK,5*6 JANATHA POLY,400,33
7/13/2017,3234,KVK,CLASSIC 300ML,300,25.5
7/13/2017,3235,PAPARAO,GARUDA 13*16 BLUE,300,13
7/13/2017,3235,PAPARAO,CYCLE-BLU-10*12,400,6.3
7/13/2017,3235,PAPARAO,SPOON-SMALL-NAT,50,9.5
7/13/2017,3235,PAPARAO,BLACK DOG-350ML,50,26
7/13/2017,3235,PAPARAO,TEAGLASS(80),40,12
7/13/2017,3236,VENKATESH VGIRI,TIRUMALA LEAF(9),3,360
7/13/2017,3236,VENKATESH VGIRI,CYCLE-BK-10*12,350,7
7/13/2017,3236,VENKATESH VGIRI,CYCLE-BK-10*12,50,7
7/13/2017,3236,VENKATESH VGIRI,CYCLE-BK-13*16,250,13
7/13/2017,3236,VENKATESH VGIRI,CYCLE-BK-13*16,10,13
7/13/2017,3236,VENKATESH VGIRI,14 GREEN,1000,1.62
7/13/2017,3236,VENKATESH VGIRI,NO-00,5,135
7/13/2017,3237,KRB,PP 4*4,10,145
7/13/2017,3237,KRB,PP 6*7,5,140
7/13/2017,3237,KRB,PP 7*8,10,140
7/13/2017,3237,KRB,PP 9*11,5,140
7/13/2017,3238,SATYAM-K,PP (+) 3.5*3.5,10,145
7/13/2017,3238,SATYAM-K,PP 3*3,10,145
7/13/2017,3238,SATYAM-K,PP 2.5*2.5,10,150
7/13/2017,3238,SATYAM-K,PRINTING COVER 100G,10,165
7/13/2017,3239,TVS,CYCLE 10*12 BK KG,15,85
7/13/2017,3239,TVS,CYCLE 16*20 BK-KG,15,85
7/13/2017,3239,TVS,VISHNU 300ML,100,29
7/13/2017,3239,TVS,10*12 BK KRISHNA,50,8
7/13/2017,3240,SMS,SOFT NAPKEENS,200,18.5
7/13/2017,3240,SMS,NAPKEEN 2ND,375,9
7/13/2017,3240,SMS,10RS RUBBER SHEET,20,180
7/13/2017,3240,SMS,13*16 BLACK RK,1500,16
7/13/2017,3296,A.SRINIVASULU,TIRUMALA-50(16*20),120,26
7/13/2017,3296,A.SRINIVASULU,GARUDA 16*20 BLUE,100,24
7/13/2017,3296,A.SRINIVASULU,LITE FOAM(1200),2,1680
7/13/2017,3297,TP13,VISHNU 300ML,100,28
7/13/2017,3644,TP13,CLASSIC 250ML(100),80,30
7/13/2017,3644,TP13,CLASSIC 250ML,100,24
7/13/2017,3644,TP13,CLASSIC 300ML,100,24.5
7/13/2017,3644,TP13,90ML RANGEELA,140,15
7/13/2017,3644,TP13,PP,5,135
7/13/2017,3644,TP13,LOOSE ITEMS,300,1.4
7/13/2017,3644,TP13,10*12 SARAS-BK,600,8
7/13/2017,3644,TP13,TIRUMALA LEAF(9),10,350
7/13/2017,3644,TP13,CYCLE-BK-13*16,250,12
7/13/2017,3644,TP13,CYCLE-BK-10*12,400,6
7/13/2017,3644,TP13,10*10 MORE,50,135
7/13/2017,3644,TP13,5*6 POLY,230,20
7/13/2017,3644,TP13,TIRUMALA M.W 13*16,25,100
7/13/2017,3644,TP13,TIRML-BL-KG-13*16,25,115
7/13/2017,3644,TP13,N0-5,25,148
7/13/2017,3644,TP13,5*6 JANATHA POLY,100,32.5
7/13/2017,3644,TP13,GANESH 13*16,150,22
7/13/2017,3644,TP13,5*7 ESWAR,10,147
7/13/2017,3644,TP13,10*12 KRISHNA-BK(10,150,8.55
7/13/2017,3644,TP13,5 RS RUBBER SHEET,5,170
7/13/2017,3644,TP13,5*6 ANKIT(20MIC),210,20.5
7/13/2017,3644,TP13,GARUDA 10*12 BLUE,200,6.5
7/13/2017,3644,TP13,GARUDA 10*12 BLUE,1000,6.5
7/13/2017,3644,TP13,N0-5,5,142
7/14/2017,3241,VENUGOPAL-INAMADUGU,VISHNU 300ML,100,29
7/14/2017,3241,VENUGOPAL-INAMADUGU,14 GREEN,2000,1.65
7/14/2017,3241,VENUGOPAL-INAMADUGU,90ML RANGEELA,140,15.5
7/14/2017,3241,VENUGOPAL-INAMADUGU,13*16 WHITE RK,100,16.5
7/14/2017,3241,VENUGOPAL-INAMADUGU,10*10 MORE,25,137
7/14/2017,3241,VENUGOPAL-INAMADUGU,4*5 MEET,30,16
7/14/2017,3241,VENUGOPAL-INAMADUGU,PP 5*6,2,140
7/14/2017,3243,SB.ENTERPRISES,5*7 ESWAR,20,147
7/14/2017,3243,SB.ENTERPRISES,13*16 BK(100)KRISHN,400,17
7/14/2017,3243,SB.ENTERPRISES,GARUDA 10*12 BLUE,1000,7
7/14/2017,3243,SB.ENTERPRISES,GARUDA 10*12 BK,1000,7
7/14/2017,3243,SB.ENTERPRISES,10*12 KRISHNA-BK(10,850,8.5
7/14/2017,3243,SB.ENTERPRISES,NIFTY 10*12 PINK,1440,5.7
7/14/2017,3243,SB.ENTERPRISES,GARUDA 13*16 BLUE,550,13
7/14/2017,3243,SB.ENTERPRISES,GARUDA 16*20 BLUE,380,24
7/14/2017,3244,RR,10*12 RK,400,8.3
7/14/2017,3244,RR,TIFFIN PLATENO-10,100,16
7/14/2017,3244,RR,"PINK PLATES-7""",120,8
7/14/2017,3244,RR,TIFFIN PLATES NO-8,100,12
7/14/2017,3245,SEKHAR MARKET,CYCLE-BLU-10*12,350,6.8
7/14/2017,3245,SEKHAR MARKET,CYCLE-BLU-10*12,50,6.8
7/14/2017,3245,SEKHAR MARKET,TIRUMALA-50(13*16),200,14
7/14/2017,3245,SEKHAR MARKET,13*16 BK(100)KRISHN,200,16.5
7/14/2017,3245,SEKHAR MARKET,DONA-VAI-9100,1,1730
7/14/2017,3246,SEKHAR MARKET,GANGA 10*12 100W,500,7
7/14/2017,3247,SATYAM.J,CYCLE-BK-10*12,400,6.3
7/14/2017,3247,SATYAM.J,CYCLE-BLU-10*12,1200,6.3
7/14/2017,3247,SATYAM.J,10*10 TEJA,50,123
7/14/2017,3247,SATYAM.J,10*10 MORE,50,136
7/14/2017,3247,SATYAM.J,TIRUMALA 16*20 M.W,25,105
7/14/2017,3247,SATYAM.J,TIRUMALA M.W 10*12,5,105
7/14/2017,3247,SATYAM.J,TIRUMALA M.W 13*16,25,105
7/14/2017,3247,SATYAM.J,HIGH COUNT 13*16,50,140
7/14/2017,3247,SATYAM.J,HIGH COUNT 10*12,25,140
7/14/2017,3247,SATYAM.J,HIGH COUNT 16*20,50,140
7/14/2017,3248,RVK-VGIRI,NO-0,5,150
7/14/2017,3248,RVK-VGIRI,NO-00,5,150
7/14/2017,3248,RVK-VGIRI,NO-1,5,150
7/14/2017,3248,RVK-VGIRI,NO-2,5,150
7/14/2017,3248,RVK-VGIRI,NO-3,3,150
7/14/2017,3248,RVK-VGIRI,N0-5,3,150
7/14/2017,3248,RVK-VGIRI,NO-10,2,150
7/14/2017,3248,RVK-VGIRI,10*12 SARAS-BK,300,8.6
7/14/2017,3248,RVK-VGIRI,10*12 SARAS-NAT,100,8.6
7/14/2017,3248,RVK-VGIRI,TIRUMALA-50(16*20),20,26.5
7/14/2017,3248,RVK-VGIRI,TIRUMALA M.W 17*20,2,110
7/14/2017,3248,RVK-VGIRI,TIRUMALA-50(17*23),10,37
7/14/2017,3248,RVK-VGIRI,TIRUMALA LEAF(9),1,380
7/14/2017,3249,RVK-VGIRI,5*6 POLY,20,21
7/14/2017,3249,RVK-VGIRI,4*5 TRISUL,10,16
7/14/2017,3250,TVR,VISHNU ICE,100,17
7/14/2017,3250,TVR,DHARAM 1KG,5,110
7/14/2017,3250,TVR,DHARAM,12,65
7/14/2017,3250,TVR,DHARAM-JAGADEESH,20,26
7/14/2017,3250,TVR,CYCLE-BK-10*12,400,6.3
7/14/2017,3251,SOLANKI PLASTICS,5*6 ANKIT(20MIC),210,20
7/14/2017,3252,R.D .STORES,13*16 BLACK RK,300,16
7/14/2017,3252,R.D .STORES,13*16 BK(100)KRISHN,200,17
7/14/2017,3252,R.D .STORES,10*12 SARAS-BK,600,8.6
7/14/2017,3252,R.D .STORES,NO-0,25,145
7/14/2017,3252,R.D .STORES,NO-00,25,145
7/14/2017,3252,R.D .STORES,NO-0,2,145
7/14/2017,3252,R.D .STORES,NO-2,5,145
7/14/2017,3252,R.D .STORES,NO-10,1,145
7/14/2017,3252,R.D .STORES,N0-5,2,145
7/14/2017,3252,R.D .STORES,TIRUMALA-50(16*20),120,26.5
7/14/2017,3252,R.D .STORES,TIRML-BL-KG-17*23,2,130
7/14/2017,3252,R.D .STORES,5*6 POLY,230,20
7/14/2017,3252,R.D .STORES,TIRUMALA LEAF(9),1,380
7/14/2017,3253,K.NAGIREDDY-KALIGIR,DURGA 10*12 BLUE,1200,5.5
7/14/2017,3254,K.SRIHARI,14*20 STAR-DCUT,35,90
7/14/2017,3254,K.SRIHARI,12*18 STAR-CUT,35,90
7/14/2017,3254,K.SRIHARI,CYCLE-BK-10*12,1400,7
7/14/2017,3254,K.SRIHARI,CYCLE-BK-10*12,200,7
7/14/2017,3254,K.SRIHARI,PRESSING COVER 4*6,10,40
7/14/2017,3254,K.SRIHARI,SMARTBOUL-CLAS(40),5,1680
7/14/2017,3255,KVKC,SPOON BIG CL,200,25
7/14/2017,3256,SHANMUGA PROVISION-,CYCLE-BK-10*12,360,7
7/14/2017,3256,SHANMUGA PROVISION-,CYCLE-BK-10*12,40,7
7/14/2017,3256,SHANMUGA PROVISION-,SURESH DHARALU,25,15
7/14/2017,3256,SHANMUGA PROVISION-,22MRP THREADS,24,14
7/14/2017,3257,KVK,SAGAR 80ML,200,12
7/14/2017,3257,KVK,PRINT-16*20 CARRY,30,105
7/14/2017,3258,LAVANYA FANCY,PAPER TEA-65ML(100),240,30
7/14/2017,3258,LAVANYA FANCY,VISHNU 300ML,200,29
7/14/2017,3258,LAVANYA FANCY,VISHNU CHOTA WINE,100,26
7/14/2017,3258,LAVANYA FANCY,BLACK DOG-350ML,100,26
7/14/2017,3259,DSP-SEKHAR,90ML RANGEELA,560,15.5
7/14/2017,3260,ARVIND-VIDYANAGAR,GARUDA 10*12 BLUE,1000,7
7/14/2017,3260,ARVIND-VIDYANAGAR,13*16 WHITE RK,500,15
7/14/2017,3260,ARVIND-VIDYANAGAR,BLACK DOG-350ML,100,26
7/14/2017,3261,PGS,10*12 KRISHNA-BK(10,200,8.7
7/14/2017,3261,PGS,10*12 RK,100,8.7
7/14/2017,3261,PGS,TIRUMALA-50(17*23),20,37
7/14/2017,3261,PGS,TIRUMALA-50(16*20),20,26
7/14/2017,3261,PGS,13*16 WHITE RK,50,16
7/14/2017,3261,PGS,16*20(100-W),20,28
7/14/2017,3261,PGS,17*23 SANTOSH,20,35
7/14/2017,3262,MGS,PP 3*3,5,145
7/14/2017,3262,MGS,PP (+) 3.5*3.5,3,145
7/14/2017,3645,TP13,APPLE WATER,100,21
7/14/2017,3645,TP13,VISHNU CHOTA WINE,100,25
7/14/2017,3645,TP13,BLACK DOG-350ML,100,25.5
7/14/2017,3645,TP13,LITE FOAM(1200),1,1620
7/14/2017,3645,TP13,VISHNU 350ML,100,28
7/14/2017,3645,TP13,CYCLE 10*12 BK KG,25,79
7/14/2017,3645,TP13,10*10 MORE,50,135
7/14/2017,3645,TP13,DURGA 10*12 BLUE,400,5.5
7/14/2017,3645,TP13,DURGA 13*16 BLUE,400,10.5
7/14/2017,3645,TP13,SILVER POUCH 9*12,50,90
7/14/2017,3645,TP13,BEND STRAW,10,13
7/14/2017,3645,TP13,4*5 MEET,278,14
7/14/2017,3645,TP13,CYCLE 13*16 BK KG,25,79
7/14/2017,3645,TP13,5*6 TRISUL,50,18.5
7/14/2017,3645,TP13,13*16 BK(100)KRISHN,260,17
7/14/2017,3645,TP13,SAGAR 80ML,200,15
7/15/2017,3263,BCM,10*10 SIVA SHEET,25,140
7/15/2017,3263,BCM,LOOSE KIRANA,35,145
7/15/2017,3264,MADHU CHEJARLA,13*16 WHITE RK,500,16.5
7/15/2017,3264,MADHU CHEJARLA,APPLE 300ML,100,29
7/15/2017,3265,RAJASURESH,10*10 SIVA SHEET,25,140
7/15/2017,3265,RAJASURESH,CYCLE-BLU-13*16,250,12.3
7/15/2017,3265,RAJASURESH,LOOSE KIRANA,16,145
7/15/2017,3265,RAJASURESH,14 GREEN,1000,1.6
7/15/2017,3265,RAJASURESH,CLASSIC 300ML,100,25
7/15/2017,3266,GV,PAPER TEA-65ML(100),600,30
7/15/2017,3267,ABC,SILVER POUCH 9*12,20,95
7/15/2017,3267,ABC,SILVER POUCH 7*9,10,55
7/15/2017,3267,ABC,TIRUMALA-50(13*16),100,14.5
7/15/2017,3267,ABC,PP 4*5,2,145
7/15/2017,3267,ABC,13*16 BK KRISHNA,100,14
7/15/2017,3267,ABC,LITEFOAM COLOUR(120,1,1800
7/15/2017,3268,CHINA CHENCHAYYA-MA,APPLE WATER,100,22
7/15/2017,3269,MS.RAMU-VGIRI,BLACK DOG-350ML,40,26
7/15/2017,3269,MS.RAMU-VGIRI,PAPER TEA 80ML LONG,40,33
7/15/2017,3269,MS.RAMU-VGIRI,PAPER TEA -100ML TA,25,28
7/15/2017,3269,MS.RAMU-VGIRI,FANCY IC,30,20
7/15/2017,3269,MS.RAMU-VGIRI,10*12 SARAS-BK,100,8.6
7/15/2017,3269,MS.RAMU-VGIRI,13*16 BLACK RK,100,17
7/15/2017,3269,MS.RAMU-VGIRI,TIRUMALA-50(16*20),50,26
7/15/2017,3269,MS.RAMU-VGIRI,LOOSE KIRANA,5,146
7/15/2017,3269,MS.RAMU-VGIRI,10*10 SIVA SHEET,5,140
7/15/2017,3269,MS.RAMU-VGIRI,5*6 POLY,10,21
7/15/2017,3269,MS.RAMU-VGIRI,SPOON-SMALL-NAT,20,10
7/15/2017,3269,MS.RAMU-VGIRI,TIFFIN PLATENO-10,10,18
7/15/2017,3269,MS.RAMU-VGIRI,SILVER PLATE 7,10,7
7/15/2017,3269,MS.RAMU-VGIRI,SILVER PLATE 8,10,8
7/15/2017,3269,MS.RAMU-VGIRI,VISHNU 250ML,100,31
7/15/2017,3270,MAHESWARI PROVISION,10*10 SHEET,25,136
7/15/2017,3270,MAHESWARI PROVISION,VISHNU 300ML,100,29
7/15/2017,3270,MAHESWARI PROVISION,TIRUMALA-50(16*20),50,26.5
7/15/2017,3270,MAHESWARI PROVISION,14 GREEN,2000,1.6
7/15/2017,3270,MAHESWARI PROVISION,4*5 TRISUL,20,15
7/15/2017,3270,MAHESWARI PROVISION,5*6 TRISUL,20,20
7/15/2017,3271,SVP-BUCHHI,PP 6*7,10,130
7/15/2017,3271,SVP-BUCHHI,PP 20*26,10,130
7/15/2017,3271,SVP-BUCHHI,4*5 ANKITA,270,14.5
7/15/2017,3272,G.RAMANIAH,TIRUMALA LEAF(9),10,360
7/15/2017,3272,G.RAMANIAH,80 LEAF,9,330
7/15/2017,3273,SD.NASIR,PAPER TEA,150,20
7/15/2017,3274,TP13,14 GREEN,2000,1.6
7/15/2017,3275,GANESHMESS,500ML PLASTIC BOULS,4000,3.65
7/15/2017,3275,GANESHMESS,TEAGLASS(80),20,12
7/15/2017,3275,GANESHMESS,SILVER POUCH 9*12,50,100
7/15/2017,3290,DSP-SEKHAR,CYCLE 10*12 BK KG,75,79
7/15/2017,3290,DSP-SEKHAR,CYCLE 13*16 BK KG,25,79
7/15/2017,3290,DSP-SEKHAR,5*6 POLY,230,20
7/15/2017,3290,DSP-SEKHAR,4*5 MEET,278,14.5
7/15/2017,3290,DSP-SEKHAR,TAMBULAM 7*10,60,110
7/15/2017,3290,DSP-SEKHAR,ROBO 10*12,400,4.7
7/15/2017,3290,DSP-SEKHAR,NAPKEEN 2ND,125,9
7/15/2017,3290,DSP-SEKHAR,90ML RANGEELA,140,15.5
7/15/2017,3291,SVR,14 GREEN,2000,1.62
7/15/2017,3292,SB.ENTERPRISES,10*12 KRISHNA-BK(10,400,8.5
